"dbn","grade","year","subject","n","score"
"01M364","3",2008,"ELA",54,672
"01M364","3",2009,"ELA",50,664
"01M364","3",2010,"ELA",51,668
"01M364","3",2011,"ELA",45,675
"01M364","3",2012,"ELA",47,666
"01M364","4",2006,"ELA",35,670
"01M364","4",2007,"ELA",35,668
"01M364","4",2008,"ELA",43,668
"01M364","4",2009,"ELA",51,668
"01M364","4",2010,"ELA",45,671
"01M364","4",2011,"ELA",50,670
"01M364","4",2012,"ELA",47,678
"01M364","5",2006,"ELA",39,672
"01M364","5",2007,"ELA",34,673
"01M364","5",2008,"ELA",34,666
"01M364","5",2009,"ELA",38,687
"01M364","5",2010,"ELA",46,675
"01M364","5",2011,"ELA",39,669
"01M364","5",2012,"ELA",47,674
"01M364","6",2006,"ELA",14,649
"01M364","All Grades",2006,"ELA",120,NA
"01M364","All Grades",2007,"ELA",113,NA
"01M364","All Grades",2008,"ELA",131,NA
"01M364","All Grades",2009,"ELA",139,NA
"01M364","All Grades",2010,"ELA",142,NA
"01M364","All Grades",2011,"ELA",134,671
"01M364","All Grades",2012,"ELA",141,673
"01M378","6",2009,"ELA",65,661
"01M378","6",2010,"ELA",75,654
"01M378","6",2011,"ELA",91,655
"01M378","6",2012,"ELA",88,653
"01M378","7",2010,"ELA",66,662
"01M378","7",2011,"ELA",67,661
"01M378","7",2012,"ELA",85,660
"01M378","8",2011,"ELA",64,651
"01M378","8",2012,"ELA",69,651
"01M378","All Grades",2009,"ELA",65,NA
"01M378","All Grades",2010,"ELA",141,NA
"01M378","All Grades",2011,"ELA",222,656
"01M378","All Grades",2012,"ELA",242,655
"01M450","6",2007,"ELA",50,644
"01M450","6",2008,"ELA",52,648
"01M450","6",2009,"ELA",55,657
"01M450","6",2010,"ELA",63,658
"01M450","6",2011,"ELA",63,658
"01M450","6",2012,"ELA",79,662
"01M450","7",2006,"ELA",89,637
"01M450","7",2007,"ELA",72,644
"01M450","7",2008,"ELA",71,653
"01M450","7",2009,"ELA",56,655
